TDEP,FACCZ,D4TM,ZACC,ZAC2,DXTM,DXT2,F1B1,F2B1,F3B1,F4B1,F5B1,F6B1,EDD1,EDD2,EDD3,EDD4,EDD5,EDD6,ERD1,ERD2,ERD3,ERD4,ERD5,ERD6
4199.940097655838,1.838535,5509.0,0.9799917,0.9799917,27873,27874,417,341,156,394,348,464,60.808395,115.9298,1194.6068,73.8643,109.18887,41.50075,60.36847,44.306503,19.409626,64.7727,110.207855,405.0699
4199.9375976558385,1.8339382,5534.0,0.9799917,0.9799917,27875,27876,409,343,159,408,346,435,64.92761,114.34121,1128.1344,65.428894,110.72452,52.45698,63.6744,43.90878,20.056997,62.493565,108.68641,418.22345
4199.935097655839,1.8370028,5559.0,0.9807037,0.9807037,27877,27878,404,343,171,425,342,382,67.29947,114.06537,877.1279,56.88877,115.41376,81.29289,67.49159,43.398308,20.414755,60.24141,110.207855,444.46494
4199.932597655838,1.8341937,5576.0,0.9832467,0.9832467,27879,27880,403,343,183,435,343,333,68.20552,114.52583,699.79926,52.4765,114.38896,124.301994,70.863144,42.80894,20.592487,58.577415,109.44185,469.5052
4199.930097655839,1.8377689,5592.0,0.9870103,0.9870103,27883,27884,404,345,214,436,341,300,67.749466,112.43794,441.01706,52.225754,115.79096,169.31364,76.06919,41.38514,21.157352,57.956184,109.69599,494.0652
4199.927597655838,1.8352152,5609.0,0.98873955,0.98873955,27885,27886,406,343,254,421,340,279,66.72962,113.88223,272.50247,58.746952,116.84113,209.34348,77.95023,40.89595,21.956015,59.2368,109.951324,499.2888
4199.925097655839,1.8347044,5634.0,0.98873955,0.98873955,27887,27888,407,344,306,414,339,273,65.70958,113.065285,161.3086,62.056858,118.20559,222.14536,80.56215,40.052998,23.175037,62.19267,110.122215,502.833
4199.922597655838,1.8321507,5659.0,0.9903671,0.9903671,27889,27890,410,345,368,408,340,264,64.25121,111.99409,91.98814,65.64048,116.55284,246.0672,82.434814,39.61674,24.136757,64.80224,110.29363,508.24463
4199.920097655839,1.8372581,5676.0,0.9918929,0.9918929,27891,27892,416,346,489,401,339,255,61.09649,110.59699,34.116856,69.12112,117.616936,268.44754,83.89747,38.645374,24.402369,68.094215,108.023605,531.10846
4199.917597655838,1.8354706,5692.0,0.99575824,0.99575824,27895,27896,419,349,539,399,341,251,59.707817,108.56551,23.084566,70.45789,115.60204,280.67993,86.9842,37.245106,23.481798,76.73654,106.40145,525.20184
4199.9150976558385,1.8393011,5709.0,0.9961651,0.9961651,27897,27898,418,353,575,405,343,254,60.138138,104.10371,17.504044,67.00244,113.746254,272.5795,89.9061,36.90595,23.009712,79.93102,106.0035,551.7943
4199.912597655839,1.8362366,5726.0,0.9961651,0.9961651,27899,27900,415,354,599,412,345,251,61.654133,103.194885,14.655331,63.188374,112.03761,281.7965,90.19191,36.292206,22.67154,82.916306,104.51803,551.7943
